               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.057901,            0.023374,                   0,             0.55274,             0.52941,             0.61421,             0.19574,             0.04455,            0.012756,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.060956,            0.025027,                   0,             0.44766,             0.52941,             0.51625,             0.18621,            0.046389,            0.012627,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.063446,            0.028503,                   0,             0.44766,             0.52941,             0.51625,             0.18621,            0.046389,            0.012627,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.061673,            0.028429,                   0,             0.48664,             0.52941,             0.56832,              0.2755,            0.035681,            0.013259,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.061299,            0.026794,                   0,             0.48664,             0.52941,             0.56832,              0.2755,            0.035681,            0.013259,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.061964,            0.031026,                   0,             0.48664,             0.52941,             0.56832,              0.2755,            0.035681,            0.013259,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.056297,            0.025171,                   0,             0.55309,             0.58824,             0.52236,             0.26632,            0.037135,            0.013009,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.055274,            0.028463,                   0,             0.55309,             0.58824,             0.52236,             0.26632,            0.037135,            0.013009,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.061491,            0.032336,                   0,             0.66109,             0.52941,             0.63883,             0.21438,            0.039705,             0.01295,                   0,            0.005149,            0.005149,            0.005149
                 100,              0.0626,            0.030738,                   0,             0.66109,             0.52941,             0.63883,             0.21438,            0.039705,             0.01295,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.054999,             0.03017,                   0,             0.66109,             0.52941,             0.63883,             0.21438,            0.039705,             0.01295,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.059789,            0.028631,                   0,             0.48939,             0.52941,             0.42384,             0.15234,            0.044057,            0.012653,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,             0.05476,            0.020411,                   0,             0.48939,             0.52941,             0.42384,             0.15234,            0.044057,            0.012653,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.062011,            0.030688,                   0,             0.64179,             0.58824,              0.5992,             0.25883,            0.034891,            0.012917,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.058612,            0.027908,                   0,             0.64179,             0.58824,              0.5992,             0.25883,            0.034891,            0.012917,                   0,            0.004852,            0.004852,            0.004852
                 106,             0.05731,            0.024812,                   0,             0.62456,             0.49023,             0.56854,             0.28147,            0.041305,            0.012371,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,             0.05365,            0.025684,                   0,             0.62456,             0.49023,             0.56854,             0.28147,            0.041305,            0.012371,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.055894,            0.026559,                   0,             0.62456,             0.49023,             0.56854,             0.28147,            0.041305,            0.012371,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,             0.05487,            0.026525,                   0,             0.59782,             0.58824,             0.60418,             0.27773,            0.034998,            0.012326,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.051032,             0.02751,                   0,             0.59782,             0.58824,             0.60418,             0.27773,            0.034998,            0.012326,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.049151,            0.031146,                   0,             0.64915,             0.54497,             0.62721,             0.24507,            0.037038,            0.012307,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.056333,            0.029229,                   0,             0.64915,             0.54497,             0.62721,             0.24507,            0.037038,            0.012307,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.058468,            0.028274,                   0,             0.64915,             0.54497,             0.62721,             0.24507,            0.037038,            0.012307,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.055797,            0.028559,                   0,             0.58028,             0.52941,             0.62958,             0.23296,            0.035907,            0.012546,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.054008,            0.026805,                   0,             0.58028,             0.52941,             0.62958,             0.23296,            0.035907,            0.012546,                   0,            0.004357,            0.004357,            0.004357
                 116,             0.05173,            0.026662,                   0,             0.63643,             0.61872,             0.73249,             0.31226,            0.033854,            0.012159,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.050678,             0.02768,                   0,             0.63643,             0.61872,             0.73249,             0.31226,            0.033854,            0.012159,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.050507,            0.028682,                   0,             0.63643,             0.61872,             0.73249,             0.31226,            0.033854,            0.012159,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,             0.05344,            0.023155,                   0,             0.57166,             0.47059,             0.64199,             0.27025,            0.035158,            0.011811,                   0,            0.004159,            0.004159,            0.004159
